,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
2898,EDVARD GRIEG,2019,5,0.37408,0.03578,0.01776,0.0,0.42762,0.00974,21675433
2899,EDVARD GRIEG,2019,6,0.40507,0.04075,0.01957,0.0,0.46538,0.00874,21675433
2900,EDVARD GRIEG,2019,7,0.44467,0.04487,0.02308,0.0,0.51263,0.01353,21675433
2901,EDVARD GRIEG,2019,8,0.43012,0.04454,0.02567,0.0,0.50032,0.0152,21675433
2902,EDVARD GRIEG,2019,9,0.44266,0.04668,0.01832,0.0,0.50766,0.01495,21675433
2903,EDVARD GRIEG,2019,10,0.41997,0.04344,0.02111,0.0,0.48452,0.01452,21675433
2904,EDVARD GRIEG,2019,11,0.39692,0.04261,0.02107,0.0,0.4606,0.012,21675433
2905,EDVARD GRIEG,2019,12,0.41886,0.04143,0.01984,0.0,0.48013,0.01523,21675433
2906,EDVARD GRIEG,2020,1,0.42525,0.04705,0.02038,0.0,0.49268,0.01652,21675433
2907,EDVARD GRIEG,2020,2,0.40155,0.04181,0.02017,0.0,0.46352,0.01695,21675433
2908,EDVARD GRIEG,2020,3,0.41792,0.03902,0.02101,0.0,0.47794,0.01987,21675433
2909,EDVARD GRIEG,2020,4,0.40555,0.03222,0.0196,0.0,0.45737,0.02117,21675433
2910,EDVARD GRIEG,2020,5,0.45544,0.03673,0.02027,0.0,0.51243,0.02557,21675433
2911,EDVARD GRIEG,2020,6,0.36773,0.02982,0.02009,0.0,0.41764,0.0218,21675433
2912,EDVARD GRIEG,2020,7,0.39563,0.02383,0.01458,0.0,0.43405,0.01825,21675433
2913,EDVARD GRIEG,2020,8,0.39182,0.03144,0.02016,0.0,0.44342,0.02196,21675433
2914,EDVARD GRIEG,2020,9,0.35167,0.03615,0.02262,0.0,0.41045,0.02141,21675433
2915,EDVARD GRIEG,2020,10,0.47249,0.04207,0.02428,0.0,0.53884,0.03417,21675433
2916,EDVARD GRIEG,2020,11,0.48229,0.04348,0.02262,0.0,0.54839,0.04001,21675433
2917,EDVARD GRIEG,2020,12,0.49224,0.04588,0.02293,0.0,0.56104,0.04366,21675433
2918,EDVARD GRIEG,2021,1,0.45332,0.04087,0.02469,0.0,0.51888,0.05026,21675433
2919,EDVARD GRIEG,2021,2,0.41205,0.03792,0.01846,0.0,0.46842,0.04193,21675433
2920,EDVARD GRIEG,2021,3,0.44819,0.0441,0.02548,0.0,0.51776,0.05987,21675433
2921,EDVARD GRIEG,2021,4,0.4796,0.03524,0.00524,0.0,0.52008,0.05919,21675433
2922,EDVARD GRIEG,2021,5,0.53014,0.03689,0.01646,0.0,0.58349,0.07506,21675433
2923,EDVARD GRIEG,2021,6,0.44143,0.02516,0.01598,0.0,0.48257,0.06102,21675433
2924,EDVARD GRIEG,2021,7,0.51951,0.05193,0.02466,0.0,0.5961,0.08035,21675433
2925,EDVARD GRIEG,2021,8,0.5034,0.04963,0.0307,0.0,0.58372,0.08665,21675433
2926,EDVARD GRIEG,2021,9,0.47525,0.04576,0.02978,0.0,0.55079,0.09091,21675433
2927,EDVARD GRIEG,2021,10,0.47979,0.04797,0.03643,0.0,0.56418,0.10488,21675433
2928,EDVARD GRIEG,2021,11,0.4579,0.03682,0.02706,0.0,0.52178,0.10624,21675433
2929,EDVARD GRIEG,2021,12,0.48737,0.03912,0.02653,0.0,0.55302,0.09652,21675433
2930,EDVARD GRIEG,2022,1,0.48774,0.04378,0.02462,0.0,0.55614,0.1293,21675433
2931,EDVARD GRIEG,2022,2,0.43641,0.0447,0.02456,0.0,0.50566,0.12834,21675433
2932,EDVARD GRIEG,2022,3,0.35191,0.03231,0.01867,0.0,0.40289,0.1171,21675433
2933,EDVARD GRIEG,2022,4,0.12997,0.00872,0.00442,0.0,0.1431,0.01624,21675433
2934,EDVARD GRIEG,2022,5,0.36272,0.03917,0.02196,0.0,0.42385,0.08702,21675433
2935,EDVARD GRIEG,2022,6,0.47243,0.04733,0.02525,0.0,0.545,0.16293,21675433
2936,EDVARD GRIEG,2022,7,0.48705,0.04053,0.02545,0.0,0.55302,0.20841,21675433
2937,EDVARD GRIEG,2022,8,0.49505,0.02791,0.01745,0.0,0.54041,0.23212,21675433
2938,EDVARD GRIEG,2022,9,0.48657,0.04922,0.03113,0.0,0.56692,0.15231,21675433
2939,EDVARD GRIEG,2022,10,0.49056,0.04764,0.0313,0.0,0.5695,0.18713,21675433
2940,EDVARD GRIEG,2022,11,0.48384,0.04571,0.02806,0.0,0.55762,0.18009,21675433
2941,EDVARD GRIEG,2022,12,0.46186,0.04473,0.0284,0.0,0.53499,0.19606,21675433
2942,EDVARD GRIEG,2023,1,0.40967,0.04217,0.02627,0.0,0.47812,0.18619,21675433
2943,EDVARD GRIEG,2023,2,0.31725,0.03158,0.01808,0.0,0.36691,0.14855,21675433
2944,EDVARD GRIEG,2023,3,0.40263,0.03942,0.02679,0.0,0.46884,0.21071,21675433
2945,EDVARD GRIEG,2023,4,0.36756,0.04153,0.02712,0.0,0.43621,0.21666,21675433
2946,EDVARD GRIEG,2023,5,0.33998,0.03105,0.01958,0.0,0.39061,0.24381,21675433
2947,EDVARD GRIEG,2023,6,0.38384,0.03842,0.0239,0.0,0.44615,0.21871,21675433
2948,EDVARD GRIEG,2023,7,0.40389,0.04272,0.02296,0.0,0.46957,0.2879,21675433
2949,EDVARD GRIEG,2023,8,0.34113,0.03391,0.02014,0.0,0.39519,0.29558,21675433
2950,EDVARD GRIEG,2023,9,0.31415,0.03487,0.0193,0.0,0.36831,0.28811,21675433
2951,EDVARD GRIEG,2023,10,0.30842,0.03414,0.01905,0.0,0.36161,0.29481,21675433
2952,EDVARD GRIEG,2023,11,0.27657,0.02797,0.01558,0.0,0.32012,0.31162,21675433
2953,EDVARD GRIEG,2023,12,0.27493,0.02744,0.01541,0.0,0.31778,0.339,21675433
2954,EDVARD GRIEG,2024,1,0.2653,0.02715,0.0149,0.0,0.30735,0.35498,21675433
2955,EKOFISK,1971,6,0.00019,0.0,0.0,0.0,0.00019,0.0,43506
2956,EKOFISK,1971,7,0.03377,0.0,0.0,0.0,0.03377,0.0,43506
2957,EKOFISK,1971,8,0.05139,0.0,0.0,0.0,0.05139,0.0,43506
2958,EKOFISK,1971,9,0.0643,0.0,0.0,0.0,0.0643,0.0,43506
2959,EKOFISK,1971,10,0.0864,0.0,0.0,0.0,0.0864,0.0,43506
2960,EKOFISK,1971,11,0.0578,0.0,0.0,0.0,0.0578,0.0,43506
2961,EKOFISK,1971,12,0.06327,0.0,0.0,0.0,0.06327,0.0,43506
2962,EKOFISK,1972,1,0.04684,0.0,0.0,0.0,0.04684,0.0,43506
2963,EKOFISK,1972,2,0.14546,0.0,0.0,0.0,0.14546,0.0,43506
2964,EKOFISK,1972,3,0.17286,0.0,0.0,0.0,0.17286,0.0,43506
2965,EKOFISK,1972,4,0.19534,0.0,0.0,0.0,0.19534,0.0,43506
2966,EKOFISK,1972,5,0.19921,0.0,0.0,0.0,0.19921,0.0,43506
2967,EKOFISK,1972,6,0.18804,0.0,0.0,0.0,0.18804,0.0,43506
2968,EKOFISK,1972,7,0.20294,0.0,0.0,0.0,0.20294,0.0,43506
2969,EKOFISK,1972,8,0.20459,0.0,0.0,0.0,0.20459,0.0,43506
2970,EKOFISK,1972,9,0.17259,0.0,0.0,0.0,0.17259,0.0,43506
2971,EKOFISK,1972,10,0.17329,0.0,0.0,0.0,0.17329,0.0,43506
2972,EKOFISK,1972,11,0.10122,0.0,0.0,0.0,0.10122,0.0,43506
2973,EKOFISK,1972,12,0.12465,0.0,0.0,0.0,0.12465,0.0,43506
2974,EKOFISK,1973,1,0.18512,0.0,0.0,0.0,0.18512,0.0,43506
2975,EKOFISK,1973,2,0.11913,0.0,0.0,0.0,0.11913,0.0,43506
2976,EKOFISK,1973,3,0.20661,0.0,0.0,0.0,0.20661,0.0,43506
2977,EKOFISK,1973,4,0.13551,0.0,0.0,0.0,0.13551,0.0,43506
2978,EKOFISK,1973,5,0.18984,0.0,0.0,0.0,0.18984,0.0,43506
2979,EKOFISK,1973,6,0.19048,0.0,0.0,0.0,0.19048,0.0,43506
2980,EKOFISK,1973,7,0.17116,0.0,0.0,0.0,0.17116,0.0,43506
2981,EKOFISK,1973,8,0.18037,0.0,0.0,0.0,0.18037,0.0,43506
2982,EKOFISK,1973,9,0.19368,0.0,0.0,0.0,0.19368,0.0,43506
2983,EKOFISK,1973,10,0.18857,0.0,0.0,0.0,0.18857,0.0,43506
2984,EKOFISK,1973,11,0.09192,0.0,0.0,0.0,0.09192,0.0,43506
2985,EKOFISK,1973,12,0.01714,0.0,0.0,0.0,0.01714,0.0,43506
2986,EKOFISK,1974,1,0.0093,0.0,0.0,0.0,0.0093,0.0,43506
2987,EKOFISK,1974,2,0.11257,0.0,0.0,0.0,0.11257,0.0,43506
2988,EKOFISK,1974,3,0.08292,0.0,0.0,0.0,0.08292,0.0,43506
2989,EKOFISK,1974,4,0.06984,0.0,0.0,0.0,0.06984,0.0,43506
2990,EKOFISK,1974,5,0.12402,0.0,0.0,0.0,0.12402,0.0,43506
2991,EKOFISK,1974,6,0.17933,0.0,0.0,0.0,0.17933,0.0,43506
2992,EKOFISK,1974,7,0.2467,0.0,0.0,0.0,0.2467,0.0,43506
2993,EKOFISK,1974,8,0.22576,0.0,0.0,0.0,0.22576,0.0,43506
2994,EKOFISK,1974,9,0.23707,0.0,0.0,0.0,0.23707,0.0,43506
2995,EKOFISK,1974,10,0.21889,0.0,0.0,0.0,0.21889,0.0,43506
2996,EKOFISK,1974,11,0.28041,0.0,0.0,0.0,0.28041,0.0,43506
2997,EKOFISK,1974,12,0.22736,0.0,0.0,0.0,0.22736,0.0,43506
2998,EKOFISK,1975,1,0.11707,0.0,0.0,0.0,0.11707,0.0,43506
2999,EKOFISK,1975,2,0.34241,0.0,0.0,0.0,0.34241,0.0,43506
3000,EKOFISK,1975,3,0.60405,0.0,0.0,0.0,0.60405,0.0,43506
3001,EKOFISK,1975,4,0.71759,0.0,0.0,0.0,0.71759,0.0,43506
3002,EKOFISK,1975,5,0.82367,0.0,0.0,0.0,0.82367,0.0,43506
3003,EKOFISK,1975,6,1.04508,0.0,0.0,0.0,1.04508,0.0,43506
3004,EKOFISK,1975,7,1.25531,0.0,0.0,0.0,1.25531,0.0,43506
3005,EKOFISK,1975,8,1.07411,0.0,0.0,0.0,1.07411,0.0,43506
