fldName,cmpLongName,fldCurrentActivitySatus,wlbName,wlbCompletionDate,fldMainArea,fldOwnerKind,fldOwnerName,fldMainSupplyBase,fldHcType,fldNpdidOwner,fldNpdidField,wlbNpdidWellbore,cmpNpdidCompany,fldFactPageUrl,fldFactMapUrl,fldDateUpdated,fldDateUpdatedMax,DatesyncNPD
GULLFAKS,Equinor Energy AS,Producing,34/10-1,08.09.1978,North sea,PRODUCTION LICENSE,050,Mongstad,OIL,21188.0,43686,424,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43686,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43686,03.04.2024,01.03.2024,14.04.2024
GULLFAKS SØR,Equinor Energy AS,Producing,34/10-2,08.12.1978,North sea,PRODUCTION LICENSE,050,Mongstad,OIL/GAS,21188.0,43699,425,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43699,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43699,03.04.2024,14.03.2024,14.04.2024
GUNGNE,Equinor Energy AS,Producing,15/9-15,01.08.1982,North sea,PRODUCTION LICENSE,046,Dusavik,GAS,21156.0,43464,74,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43464,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43464,02.01.2024,01.02.2024,14.04.2024
GYDA,,Shut down,2/1-3,29.03.1980,North sea,,,Tananger,OIL,,43492,251,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43492,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43492,03.04.2024,02.01.2024,14.04.2024
HALTEN ØST,Equinor Energy AS,Approved for production,6507/11-6,08.07.2001,Norwegian sea,BUSINESS ARRANGEMENT AREA,HALTEN ØST UNIT,Kristiansund,GAS/CONDENSATE,38215610.0,42148955,4321,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42148955,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42148955,03.04.2024,02.01.2024,14.04.2024
HANZ,Aker BP ASA,Approved for production,25/10-8,07.04.1997,North sea,PRODUCTION LICENSE,028 B,Tananger,OIL/GAS,917484.0,25307278,2955,28544099.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=25307278,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=25307278,02.01.2024,01.03.2024,14.04.2024
HEIDRUN,Equinor Energy AS,Producing,6507/7-2,10.06.1985,Norwegian sea,BUSINESS ARRANGEMENT AREA,HEIDRUN UNIT,Kristiansund,OIL/GAS,40490.0,43771,464,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43771,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43771,02.01.2024,01.03.2024,14.04.2024
HEIMDAL,Equinor Energy AS,Shut down,25/4-1,09.12.1972,North sea,PRODUCTION LICENSE,036 BS,Dusavik,OIL/GAS,2473189.0,43590,359,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43590,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43590,02.01.2024,01.03.2024,14.04.2024
HOD,Aker BP ASA,Producing,2/11-2,29.12.1974,North sea,PRODUCTION LICENSE,033,Tananger,OIL,21052.0,43485,285,28544099.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43485,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43485,02.01.2024,01.03.2024,14.04.2024
HUGIN,Aker BP ASA,Approved for production,25/2-10 S,19.03.1986,North sea,PRODUCTION LICENSE,442,,OIL/GAS,4237510.0,42002474,855,28544099.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002474,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002474,03.04.2024,24.01.2024,14.04.2024
