"name","npdId","year","month","gas","gasUom","water","waterUom","CO2","CO2Uom","cuttings","cuttingsUom"
"ALVHEIM",2845712,2024,1," ","Sm3",491808,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,1999,10,2514125,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,1999,11,11630485,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,1999,12,13141960,"Sm3",9869,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2000,1,13097423,"Sm3",21394,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2000,2,6582948,"Sm3",47225,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2000,3,10906948,"Sm3",105090,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2000,4,12730641,"Sm3",121346,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2000,5,11675825,"Sm3",53938,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2000,6,877316,"Sm3",46745,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2000,7,233056,"Sm3",103072,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2000,8,9491408,"Sm3",101962,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2000,9,13071911,"Sm3",100468,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2000,10,3734611,"Sm3",120240,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2000,11,8686074,"Sm3",108333,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2000,12,12900826,"Sm3",117206,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2001,1,9064523,"Sm3",119973,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2001,2,7340911,"Sm3",96388,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2001,3,9215276,"Sm3",103001,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2001,4,14982771,"Sm3",118673,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2001,5,14199966,"Sm3",89130,"Sm3"," ","Sm3"," ","Sm3"
